"Albuquerque",2,50,"King Air 200"
"Atlanta",2,10,"King Air 200"
"Augusta",2,20,"King Air 200"
"Bahamas",4,0,"King Air 200"
"Boston",4,30,"King Air 200"
"Cancun",4,0,"King Air 200"
"Charlotte",2,45,"King Air 200"
"Chicago",2,0,"King Air 200"
"Dallas",1,10,"King Air 200"
"Denver",2,20,"King Air 200"
"Destin",2,15,"King Air 200"
"Houston",1,45,"King Air 200"
"Indianapolis",1,55,"King Air 200"
"Kansas City",1,0,"King Air 200"
"Las Vegas",4,10,"King Air 200"
"Little Rock",0,40,"King Air 200"
"Los Angeles",4,50,"King Air 200"
"Memphis",1,5,"King Air 200"
"Miami",3,50,"King Air 200"
"Milwaukee",2,10,"King Air 200"
"Nashville",1,40,"King Air 200"
"New York",4,0,"King Air 200"
"Orlando",3,15,"King Air 200"
"Rochester, Minn",2,5,"King Air 200"
"San Antonio",2,0,"King Air 200"
"San Diego",4,40,"King Air 200"
"Seattle",5,45,"King Air 200"
"St. Louis",1,10,"King Air 200"
"Tampa",3,10,"King Air 200"
"Toronto",3,20,"King Air 200"
"Albuquerque",2,0,"Diamond Jet"
"Atlanta",1,30,"Diamond Jet"
"Augusta",1,40,"Diamond Jet"
"Bahamas",2,40,"Diamond Jet"
"Boston",3,0,"Diamond Jet"
"Cancun",2,40,"Diamond Jet"
"Charlotte",1,50,"Diamond Jet"
"Chicago",1,25,"Diamond Jet"
"Dallas",0,50,"Diamond Jet"
"Denver",1,40,"Diamond Jet"
"Destin",1,30,"Diamond Jet"
"Houston",1,15,"Diamond Jet"
"Indianapolis",1,20,"Diamond Jet"
"Kansas City",0,45,"Diamond Jet"
"Las Vegas",2,50,"Diamond Jet"
"Little Rock",0,30,"Diamond Jet"
"Los Angeles",3,15,"Diamond Jet"
"Memphis",0,45,"Diamond Jet"
"Miami",2,35,"Diamond Jet"
"Milwaukee",1,30,"Diamond Jet"
"Nashville",1,10,"Diamond Jet"
"New York",2,40,"Diamond Jet"
"Orlando",2,15,"Diamond Jet"
"Rochester, Minn",1,30,"Diamond Jet"
"San Antonio",1,25,"Diamond Jet"
"San Diego",3,10,"Diamond Jet"
"Seattle",3,55,"Diamond Jet"
"St. Louis",0,50,"Diamond Jet"
"Tampa",2,10,"Diamond Jet"
"Toronto",2,15,"Diamond Jet"
